FORMULA	NRETWEET	NLIKE	NANS	FOLLOWERS	MUSEUM	ISRETWEET	PARTOFDAY	HASEMARK	HASQMARK	HASNERPER	HASNERLOC	HASNERORG	HASNERMISC	NURLS	NIMG	NHASH	NMENTION	LENGTH	DENSE	SENT	ENG	LONG	FULL_TEXT
0	3	31	1	28400	MuseoEgizio	0	afternoon	0	1	0	1	1	1	0	4	0	2	257	0	1	0	1	Would you like to see what Deir el-Medina looks like today? Take a look at these photos sent to us by some curators of the @museoegizio taking part in the @ifaocaire Archaeological Mission in Deir el-Medina directed by Dr. Larcher.pic.twitter.com/h5ikOFQ9bc
0	4	13	0	28400	MuseoEgizio	0	morning	1	0	0	0	0	1	1	2	2	0	163	0	0	0	1	The registration for symposium Im/materialities is now open! More info here: https://bit.ly/38kerXF  #ArcheologiaInvisibile  #museoegiziopic.twitter.com/OEO6IiMd9F
0	1	11	1	28400	MuseoEgizio	0	afternoon	1	0	0	1	1	1	0	2	3	3	266	0	1	0	1	We just left Rio de Janeiro, to reach the @CCBB_SP, the next venue of the exhibition "Egito antigo. Do cotidiano à eternidade"! Thank you to all the staff of @CCBB_RJ , @artunlimitedbr  and Millennium. #Staytuned #EgitoCCBB #Egizioontheroadpic.twitter.com/n6VxwhiDkz
0	6	30	1	28400	MuseoEgizio	0	afternoon	1	0	1	0	1	1	0	3	3	0	296	0	1	0	1	Also ancient Egyptians won #Oscars! In 1964, the film #Cleopatra received 9 nominations and 4 wins for Art Direction, Set Decoration, Special Effects, Costume Design and Cinematography! Here, a Stela, picturing Cleopatra and Caesarion, part of our collection. #Oscar2020pic.twitter.com/w6s5cEESKr
0	2	7	0	28400	MuseoEgizio	0	morning	0	0	1	1	1	1	1	2	0	0	472	0	0	0	1	Martedì 25 febbraio alle 18, il Museo Egizio ospiterà la conferenza " Early Middle Kingdom elite officials and royal strategies at Thebes: recent works by the University of Alcalá Expedition at Deir el-Bahari" tenuta da Antonio J. Morales. https://www.museoegizio.it/esplora/appuntamenti/early-middle-kingdom-elite-officials-and-royal-strategies-at-thebes-recent-works-by-the-university-of-alcala-expedition-at-deir-el-bahari-antonio-j-morales/ …pic.twitter.com/deYO7RQrPk
0	9	52	2	28400	MuseoEgizio	0	morning	1	0	1	1	0	0	0	3	6	0	272	1	0	0	1	Ieri a #Sanremo2020 Roberto #Benigni ha presentato il #CanticoDeiCantici, come la poesia d'#amore più bella! Gli antichi #Egizi non erano da meno. Esiste un'ampia letteratura di liriche d'amore : "Quando la #bacio e le sue labbra sono aperte, son ebbro, anche senza birra"
0	8	29	0	28400	MuseoEgizio	0	afternoon	1	0	0	1	1	1	0	3	2	0	305	0	0	0	1	Nel 1972 l'artista #SolLewitt scriveva una cartolina dopo aver visitato il Museo Egizio! L'Arengario Studio Bibliografico ne conserva l'originale! Ricordatevi di inviarci i vostri souvenir, vecchie foto e testimonianze per continuare a costruire la storia del museo! #IlMioEgiziopic.twitter.com/mfQ2svcBmb
0	2	15	1	28400	MuseoEgizio	0	morning	0	0	1	1	0	0	1	2	0	0	260	0	0	0	1	Vi aspettiamo stasera alle 18.00 alla presentazione del libro "Il tempo dei nuraghi. La Sardegna dal XVIII al VIII secolo a.C." a cura di Tatiana Cossu, Mauro Perra, Alessandro Usai. https://www.facebook.com/events/2462879683949946/ …pic.twitter.com/Yk4rbPA6NW
0	5	17	2	28400	MuseoEgizio	0	afternoon	0	0	1	0	0	0	1	1	3	0	126	0	0	0	1	Here the #streaming of the #lecture by G. Schreiber: "Glimpses into the #history of Theban Tombs".https://youtu.be/37HKjQ2Hyo4
0	3	14	0	28400	MuseoEgizio	0	afternoon	0	0	0	1	1	1	1	1	1	5	275	1	0	0	1	Siamo molto orgogliosi di far parte del #MultakaInternational Network con @MultakaO @MuseoNovecento @MuseidiFiesole @MuseoInnocenti @MusCivFiohttps://www.mentelocale.it/torino/articoli/83034-museo-egizio-torino-inclusione-sociale-grazie-multaka-international-network-p1.htm …
