FORMULA	NRETWEET	NLIKE	NANS	FOLLOWERS	MUSEUM	ISRETWEET	PARTOFDAY	HASEMARK	HASQMARK	HASNERPER	HASNERLOC	HASNERORG	HASNERMISC	NURLS	NIMG	NHASH	NMENTION	LENGTH	DENSE	SENT	ENG	LONG	FULL_TEXT
0	5	21	0	3501000	worksandprocess	1	afternoon	0	0	1	1	1	1	1	2	1	1	304	0	0	0	1	Artist #EllsworthKelly was born on this day in 1923. If you've joined us in the Peter B. Lewis Theater at the @Guggenheim, you've seen Kelly's sculpture "The Wright Curve" (pictured) prominently featured against the wall. Read about this 2009 performance: https://gu.gg/2smjRP3 pic.twitter.com/em0fn1cahY
0	5	46	1	3501000	Guggenheim	0	afternoon	1	0	1	1	1	1	1	1	1	0	281	0	1	0	1	Happy birthday, Hilla Rebay! Enjoy 20% off the "Visionaries: Creating a Modern Guggenheim" catalogue, today and online only and learn more about Rebay’s art-collecting practices and her role as the first director of the #Guggenheim: https://gu.gg/2H4AFP8 pic.twitter.com/ZCOcEOFeqC
0	24	137	4	3501000	Guggenheim	0	night	0	1	1	1	0	1	1	2	2	0	236	0	0	0	1	Did you #GuessTheArtist correctly? Here’s the full view of Georges #Braque’s “Violin and Palette” (1909). See this work on view in our Thannhauser Gallery and learn more about the artist: https://gu.gg/2JmRTw2 pic.twitter.com/u8HkmaxrTj
0	33	155	93	3501000	Guggenheim	0	evening	1	0	0	0	0	0	0	2	1	0	291	0	1	0	1	#GuessTheArtist—this artist invented a revolutionary style of painting in which objects are fractured into multiple facets, as is the surrounding space with which they merge. Comment your best guess below and we’ll share the answer by the end of the day. Good luck!pic.twitter.com/nRC8puSjtL
0	11	24	0	3501000	Guggenheim	0	afternoon	0	0	1	1	0	0	1	2	0	0	201	0	1	0	1	On the blog—artist Shaun Leonardo talks about why the solutions to our cultural divisions may lie in our body language rather than our words. Read more: https://gu.gg/2JdgF1P pic.twitter.com/Zr1sWpjkof
0	5	15	1	3501000	SwissCGNY	1	evening	0	0	0	1	0	1	1	3	2	0	295	0	0	0	1	#WordOfTheWeek from Val Bregaglia: ciäsa; English: Home; German: Haus; French: Maison; Italian: Casa. Borgonovo is tucked along the slopes of the valley and is the home of #AlbertoGiacometti. Find out more about the Guggenheim's upcoming exhibit https://bit.ly/2Gvf424 pic.twitter.com/fZmYthDedP
0	30	94	1	3501000	Guggenheim	0	evening	0	0	0	1	1	1	1	2	1	0	240	0	1	0	1	Be among the first to experience our highly anticipated summer exhibition, #Giacometti at our Members’ Opening Party on Friday, June 8 (free for Individual level members and above). Join now: https://gu.gg/2ITXuL2 pic.twitter.com/rF3tNfB6kV
0	1	11	0	3501000	Guggenheim	0	afternoon	0	0	0	0	0	1	1	1	2	2	189	0	0	0	1	June 11—collection artist #LaurieSimmons (@SimmonsLaurie) will screen and discuss her first feature film "MY ART" with our friends at @nitehawkcinema. https://gu.gg/2J3Bn4c  #Representation
0	4	35	0	3501000	jcbrianchon	1	evening	0	0	0	0	0	1	0	3	0	1	61	0	0	0	0	@Guggenheim. Installation en cours.pic.twitter.com/Hj0dGwnPxY
0	28	107	0	3501000	Guggenheim	0	afternoon	0	0	1	1	0	1	1	5	5	0	266	1	0	0	1	We are open today 10 am-5:45 pm. Plan a visit to see "#OneHandClapping," "Guggenheim Collection: #Brancusi," "A Year with Children 2018," and masterworks from our collection by #Kandinsky, #Picasso, #Seurat, and more. https://gu.gg/2IAc2za pic.twitter.com/fJjYl1cLCv
0	16	95	0	3501000	SARKHIDHER	1	evening	0	0	0	0	0	1	0	5	0	1	70	0	0	0	0	Pics of our visit to @Guggenheim | July 2017pic.twitter.com/RD7clZ8LgI
0	30	105	0	3501000	Guggenheim	0	evening	0	0	1	1	1	1	1	5	1	1	289	0	1	0	1	To our followers in Italy—the homage exhibition “1948 Biennale of Peggy Guggenheim” opens today at @GuggenheimPGC. This year marks the 70th anniversary of the landmark exhibition of #PeggyGuggenheim’s collection at the 24th Venice Biennale. https://gu.gg/2IOe3It pic.twitter.com/NQKrWSPU7y
0	52	183	0	3501000	Guggenheim	0	afternoon	0	0	0	0	1	1	1	2	1	0	229	0	1	0	1	Starting today, May 26 through Labor Day, September 3, we will proudly offer free admission to to all active duty military personnel and their families as part of #BlueStarMuseums. https://gu.gg/2KUexZV pic.twitter.com/q4l1hRyEnR
0	11	84	2	3501000	AGuideNamedSue	1	evening	0	0	0	0	0	0	0	3	0	1	91	0	1	0	0	Even during exhibition change the @Guggenheim is an amazing spacepic.twitter.com/YtdKLz3PQv
0	10	74	1	3501000	Melissa_Dav	1	afternoon	0	0	0	0	1	0	0	2	1	1	85	0	0	0	0	Scene from @Guggenheim spring 2017 #FrankLloydWrightFridayspic.twitter.com/lhGohmAaod
0	12	65	4	3501000	Guggenheim	0	afternoon	0	0	1	1	1	0	0	2	1	1	184	0	1	0	1	Gugg Staff shot: Tina (@tweenavaz), Global Communications—"I love that the building is recognizable from almost any angle or detail.” #FrankLloydWrightFridayspic.twitter.com/R6aos34CNA
0	11	99	3	3501000	MartaVFreitas	1	afternoon	1	0	0	0	0	1	0	3	5	1	101	1	0	0	1	Guggenheim! #newyork @Guggenheim #franklloydwright #nyc #architecture #artepic.twitter.com/96gnMaKfwn
0	18	103	3	3501000	Guggenheim	0	evening	0	0	1	1	0	0	1	4	1	0	297	0	0	0	1	The making of #OneHandClapping—artist Duan Jianyu painted on site during the installation period to present two sets of sculptural work of cast bronze carrots and baskets. Visitors can find the sculptures on both floors (5 and 7) of the exhibition: https://gu.gg/2riqDVs pic.twitter.com/lHbnq2pGWd
0	16	49	0	3501000	Guggenheim	0	evening	0	0	1	1	1	1	1	1	0	0	301	0	0	0	1	Artist Shaun Leonardo investigates the state of public debate in contemporary society in "Primitive Games," a new commission for the Guggenheim Social Practice initiative culminating in a live performance in the museum's rotunda on June 21. Learn more: https://gu.gg/2s26l2D pic.twitter.com/lc9tCKLGb7
0	46	131	0	3501000	GuggenheimPGC	1	afternoon	0	0	0	1	1	1	1	2	1	0	164	0	1	0	1	"I paint not the things I see but the feelings they arouse in me" - Happy B'Day to the American painter #FranzKline http://bit.ly/1OQnPqz pic.twitter.com/nnINZ23m3V
0	27	91	2	3501000	Guggenheim	0	afternoon	0	0	1	1	1	1	1	2	2	0	212	0	1	0	1	Sailors, Marines and Coast Guardsmen––plan a visit to the #Guggenheim this #FleetWeek and receive free admission when wearing your uniform today and May 25–May 28. https://gu.gg/2IAc2za pic.twitter.com/jAIJUrd81T
0	9	45	0	3501000	Guggenheim	0	evening	0	0	0	1	0	1	1	1	2	1	224	0	0	0	1	A self-taught animator, #WongPing posted his first animation on YouTube in 2010, and now he’s one of five artists featured in #OneHandClapping. Learn about his path to becoming an artist in the @nytimes.https://gu.gg/2KM2cXQ
0	19	107	1	3501000	Guggenheim	0	afternoon	0	0	1	0	0	0	1	1	0	0	156	0	1	0	1	On the blog—discover how our retail team revived a popular tea set from the 1990s inspired by Frank Lloyd Wright's Guggenheim building.https://gu.gg/2KLxFJI
0	32	128	1	3501000	Guggenheim	0	night	0	1	1	1	0	1	1	2	2	0	272	0	0	0	1	Did you #GuessTheArtist correctly? Here’s the full view of Henri de #ToulouseLautrec’s “In the Salon (Au Salon)” (1893), from our collection. See this work on view in our Thannhauser Gallery and learn more about the artist: https://gu.gg/2rXa1CO pic.twitter.com/RoDpwfpjwp
0	10	46	1	3501000	Guggenheim	0	evening	0	0	1	0	0	1	1	1	1	0	202	0	0	0	1	On the blog—#GuggenheimAbuDhabi collection artist Imran Qureshi describes his artistic process, and the narrative element to his vivid red abstract work, “The Garden Within” (2014).https://gu.gg/2rSB5TZ
0	65	247	10	3501000	Canada	1	evening	0	0	1	1	1	1	0	7	1	2	293	0	1	0	1	Toronto-born Frank Owen Gehry is deemed by some to be the most important architect of modern times. Internationally recognized for the @MuseoGuggenheim, he also worked on the revitalization of the @agotoronto, his first project in  #JewishHeritageMonth :frankgehry/IGpic.twitter.com/Wk5Abe8hZ7
