FORMULA	NRETWEET	NLIKE	NANS	FOLLOWERS	MUSEUM	ISRETWEET	PARTOFDAY	HASEMARK	HASQMARK	HASNERPER	HASNERLOC	HASNERORG	HASNERMISC	NURLS	NIMG	NHASH	NMENTION	LENGTH	DENSE	SENT	ENG	LONG	FULL_TEXT
0	12	27	1	28400	MuseoEgizio	0	afternoon	1	1	1	0	0	0	0	2	1	0	302	0	0	0	1	Come venivano raffigurati i bambini nell’antico Egitto? Solitamente, erano rappresentati nudi, con il capo quasi totalmente rasato e con una treccia laterale, chiamata «ciocca della giovinezza». La statuetta di Amenmes ne è un ottimo esempio! #GiornataInternazionaleDelBambinopic.twitter.com/2ugnhBCmXF
0	3	9	0	28400	MuseoEgizio	0	morning	0	0	1	1	0	1	1	2	0	1	329	0	0	0	1	https://www.facebook.com/events/1409205395847222/ … Emanuele Papi, direttore della Scuola Archeologica Italiana di Atene, ci guida in un viaggio attraverso undici storie archeologiche ai quattro angoli del Mediterraneo nel suo libro Pietre dello "Scandalo. 11 avventure dell'archeologia" @editorilaterzapic.twitter.com/ynxMPTQiRP
0	12	24	0	28400	MuseoEgizio	0	morning	0	0	1	1	0	1	0	2	5	0	303	1	0	0	1	Le Pillole di #cultura. Il 31 maggio del 1889, nasceva a Frascati Giulio Farina, dal 1928 direttore del #museo. Anche lui intraprese #ricerche #archeologiche in #Egitto. Tra le tante scoperte vanno ricordati i frammenti di una preziosa tela dipinta del IV millennio a.C. (1930)pic.twitter.com/O1d55zfDbc
0	0	3	0	28400	MuseoEgizio	0	evening	0	1	0	1	0	1	1	3	0	0	309	0	1	0	1	My week on Twitter : 34 Mentions, 112K Mention Reach, 230 Likes, 71 Retweets, 229K Retweet Reach. See yours with https://sumall.com/performancetweet?utm_source=twitter&utm_medium=publishing&utm_campaign=performance_tweet&utm_content=text_and_media&utm_term=8a2a8f8dedddcfab0265d49f …pic.twitter.com/KV29oJAodU
0	5	29	0	28400	MuseoEgizio	0	afternoon	0	0	0	0	0	0	0	2	0	0	284	0	0	0	1	L’inquadratura ravvicinata, il bianco e nero e l’effetto mosso enfatizzano le espressioni di questi soggetti, dagli occhi fissi e le bocche spalancate come nelle maschere del teatro greco. Catalogo  mostra «Anche le statue muoiono» - fino al 9 settembre 2018pic.twitter.com/8SD2T5SOTH
0	3	7	0	28400	MuseoEgizio	0	afternoon	0	0	1	0	0	1	0	2	1	2	110	0	0	0	1	Concluding remarks by Elena Calandra #SymposiumStatuesAlsoDie @fondsrr @MuseiRealiTopic.twitter.com/IbphMF7NF6
0	3	9	0	28400	MuseoEgizio	0	afternoon	0	1	1	1	1	0	0	2	1	2	232	0	0	0	1	What is the role of the material culture and museums in the production of contemporary cultural identities? Karen Exell is focusing on the Arabian Gulf at the #SymposiumStatuesAlsoDie @MuseiRealiTo @fondsrrpic.twitter.com/sKMIStLMhE
0	1	14	0	28400	MuseoEgizio	0	afternoon	0	1	1	0	1	1	0	2	1	2	170	0	1	0	1	“Museum ethics”: some activities may be legal, but are they ethical? Alice Stevenson, now at the #SymposiumStatuesAlsoDie @MuseiRealiTo @fondsrrpic.twitter.com/GddQrXpbPp
0	2	12	0	28400	MuseoEgizio	0	afternoon	0	0	1	1	0	1	0	2	1	2	229	0	1	0	1	Carlo Lippolis, “Birth, Fall and Renaissance of the Iraq Museum in Baghdad: politics and propaganda vs archaeology and heritage enhancement in modern Iraq” #SymposiumStatuesAlsoDie @fondsrr @MuseiRealiTopic.twitter.com/htFqzUl6W4
0	3	12	0	28400	MuseoEgizio	0	afternoon	0	0	1	0	1	1	0	2	1	2	213	0	1	0	1	“Tales of Resurrection: From the Buried to the Undead” looks at moments of destruction of museums or heritage sites. Ali Cherri, now at the #SymposiumStatuesAlsoDie @MuseiRealiTo @fondsrrpic.twitter.com/RNlGu83Ggq
0	3	10	0	28400	MuseoEgizio	0	afternoon	0	0	1	0	0	0	0	2	1	2	274	0	1	0	1	Hourig Sourouzian is talking about the revival of slain statuary: her main objective is to bring back to life statues in ruined or abandoned sites and put them back on display in their original place. #SymposiumStatuesAlsoDie @fondsrr @MuseiRealiTopic.twitter.com/Ewasds8paP
0	1	3	0	28400	MuseoEgizio	0	morning	0	0	1	1	0	1	0	2	1	2	152	0	1	0	1	Maria Teresa Grassi, “‘Lost in astonishment’: Palmyra in The eyes of the West” #SymposiumStatuesAlsoDie @fondsrr @MuseiRealiTopic.twitter.com/4CslOOVSVz
0	4	13	0	28400	MuseoEgizio	0	morning	0	0	1	1	0	1	0	2	1	2	168	0	0	0	1	#SymposiumStatuesAlsoDie “The afterlives of ancient statuary in the Konya Plain in central Turkey”, Christoph Bachhuber @fondsrr @MuseiRealiTopic.twitter.com/3tw8BAOyXZ
0	4	5	0	28400	MuseoEgizio	0	morning	0	0	1	0	0	1	0	1	1	2	138	0	1	0	1	“The survey has an intellectual, academic and ethical responsibility” Christoph Bachhuber, #SymposiumStatuesAlsoDie @fondsrr @MuseiRealiTo
0	3	10	0	28400	MirkoSurdi	1	afternoon	0	0	1	0	0	1	0	2	1	0	163	0	1	0	1	It is the turn of Prof. Simonetta Graziani with is lecture "Niniveh is Dead, Long Live Babylon" at International #SymposiumStatuesAlsoDiepic.twitter.com/HdLtGmQGIb
0	5	15	0	28400	MuseoEgizio	0	afternoon	0	0	1	0	0	1	0	1	1	2	247	0	1	0	1	Jananne Al-Anani is focusing on the emergence of the discipline of aerial archaeology as a means of identifying previously unknown sites and exposing latent histories embedded in the landscape at the #SymposiumStatuesAlsoDie @fondsrr @MuseiRealiTo
0	2	10	0	28400	MuseoEgizio	0	afternoon	0	0	1	0	0	1	0	1	1	2	240	0	1	0	1	"Our ambition is to stimulate a debate through exhibitions, conferences and publications on the value of tolerance, which are the essence of the European soul" Antonio Zanardi Landi, adesso al #SymposiumStatuesAlsoDie @fondsrr @MuseiRealiTo
0	2	15	0	28400	PSandretto	1	afternoon	0	0	1	0	0	1	0	2	1	1	186	0	1	0	1	Alla @fondsrr insieme a Evelina Christillin, Salvatore Settis, Christian Greco e Stefano De Martino per il simposio “Statues Also Die”  #SymposiumStatuesAlsoDiepic.twitter.com/s1ik5qfMXk
0	0	2	0	28400	MuseoEgizio	0	afternoon	0	0	0	0	0	0	0	2	1	0	24	0	0	0	0	#SymposiumStatuesAlsoDie
0	0	3	0	28400	MuseoEgizio	0	afternoon	0	0	0	0	0	0	0	2	1	0	24	0	0	0	0	#SymposiumStatuesAlsoDie
0	1	4	0	28400	MuseoEgizio	0	afternoon	0	0	1	0	0	1	0	3	1	2	167	0	0	0	1	Marcello Barbanera examines the ancient origins of the debate about art as cultural property. @fondsrr @MuseiRealiTo #SymposiumStatuesAlsoDiepic.twitter.com/BCOwtysA4C
